,아이디,전국,광주,전국구,광주구,광주 광산구,광주 남구,광주 동구,광주 북구,광주 서구,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,무주택자,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,저소득,한부모/조손,신용불량자,독거노인,취약계층,해당없음,일자리,주거,일상생활,신체건강 및 보건의료,정신건강 및 심리정서,사업목적해당없음,안전 및 권익보장,문화 및 여가,보육 및 교육,보호 및 돌봄/요양,clustering
0,1,전국,광주광역시,전국구,@,광산구,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,무주택자,@,@,@,@,@,장애인,@,@,@,독거노인,취약계층,@,@,주거,@,@,@,@,@,@,@,@,0
1,2,전국,광주광역시,전국구,@,광산구,@,@,@,@,@,@,청년,@,@,@,@,@,@,중소기업,@,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,일자리,@,@,@,@,@,@,@,@,@,0
2,3,전국,광주광역시,전국구,@,광산구,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,무주택자,@,@,@,@,@,@,@,@,@,@,취약계층,@,@,@,@,@,@,@,안전/권익보장,@,@,@,1
3,4,전국,광주광역시,전국구,@,광산구,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,문화/여가,@,@,12
4,5,전국,광주광역시,전국구,@,광산구,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,정신건강/심리정서,@,@,@,@,@,12
5,6,전국,광주광역시,전국구,@,광산구,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,@,@,@,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보육/교육,@,0
6,7,전국,광주광역시,전국구,@,@,남구,@,@,@,@,@,@,중장년,노년,@,무직,@,@,@,@,@,자녀없음/상관없음,무주택자,@,@,@,@,@,@,@,@,@,@,취약계층,@,@,@,@,@,@,@,안전/권익보장,@,@,보호/돌봄/요양,0
7,8,전국,광주광역시,전국구,@,@,남구,@,@,@,아동,@,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,장애인,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,보육/교육,@,18
8,9,전국,광주광역시,전국구,@,@,남구,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,독거노인,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양,8
9,10,전국,광주광역시,전국구,@,@,남구,@,@,@,@,@,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,다자녀,@,@,@,@,@,@,@,@,@,@,일상생활,@,@,@,@,@,보육/교육,@,13
